os_id,placa,base,regra,est_algoritmo_min,rampa_real_min,pronta_real_min,n_pecas,pecas
32806,STC1E75,166,C3_DIVERSAS_AVARIAS,96,106,140,9,"Carenagem dianteira esquerda CPX x1 | Mascara do farol x1 | Farol x1 | Disco de freio traseiro x1 | Pastilha de freio dianteiro x1 | Pneu dianteiro x1 | Seta LD x1 | Amortecedor traseiro x1 | Pastilha de freio traseiro x1"
32833,UGA8D77,1,C3_PECA_CRITICA,143,87,118,12,"Roda traseira_v1 x1 | Rolamento inferior da direção x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1 | Retentor da roda x2 | Rolamento superior completo da direção x1 | Rolamento da roda x2 | Pneu traseiro x1 | Válvula pneu x1 | Roda traseira_v2 x1 | Pastilha de freio dianteiro x1"
32848,TMG3I96,166,C2_SEM_ESTOQUE,30,15,25,2,"Conjunto de seta x1 | Buzina x1"
32870,TLA5A71,1,C3_PECA_CRITICA,107,82,107,7,"Rolamento inferior da direção x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1 | Rolamento superior completo da direção x1 | Carenagem frontal posterior PP x1 | Pastilha de freio dianteiro x1"
32887,TJZ4C97,34,C2_SEM_ESTOQUE,22,14,19,2,"Chapa do baú x1 | Bau 93L x1"
32893,TKV8J62,34,C3_TEMPO_COMBINADO,36,111,176,4,"Pneu traseiro x1 | Pastilha de freio dianteiro x1 | Disco de freio dianteiro x1 | Pastilha de freio traseiro x1"
32911,UEZ2H96,34,C3_DIVERSAS_AVARIAS,59,96,133,13,"Carenagem dianteira esquerda COMFORT x1 | Borracha de vedação Bolha x4 | Carenagem dianteira direita COMFORT x1 | Manete de freio traseiro x1 | Suporte da bolha inferior (Parte superior mesa suspensão diant.) x1 | Paralama dianteiro x1 | Seta LE x1 | Suporte da bolha x1 | Parafuso da bolha x4 | Bolha/Parabrisa x1 | Paralama traseiro x1 | Mascara do farol x1 | Farol x1"
32927,TKD3J27,34,C4_CAPACIDADE,30,68,160,4,"Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Descanso lateral x1 | Pastilha de freio traseiro x1"
32929,UEQ0G83,1,C3_PECA_CRITICA,158,53,85,7,"Rolamento superior completo da direção x1 | Retentor da roda x2 | Rolamento da roda x2 | Rolamento inferior da direção x1 | Suporte do paralama x1 | Pista do rolamento inferior  x1 | Garfo dianteiro x1"
32931,TIP7C23,34,C3_DIVERSAS_AVARIAS,98,74,168,14,"Carenagem dianteira direita COMFORT x1 | Seta LD x1 | Suporte do pedal esquerdo do passageiro x1 | Roda traseira_v1 x1 | Carenagem dianteira esquerda COMFORT x1 | Manete de freio traseiro x1 | Carenagem frontal x1 | Roda traseira_v2 x1 | Acabamento frontal esquerdo x1 | Mascara do farol x1 | Farol x1 | Bolha/Parabrisa x1 | Guidão x1 | Manete de freio dianteiro x1"
32936,UDH8J16,34,C3_DIVERSAS_AVARIAS,89,70,121,9,"Carenagem dianteira esquerda COMFORT x1 | Seta LD x1 | Carenagem dianteira direita COMFORT x1 | Rolamento da roda x2 | Pneu traseiro x1 | Retentor da roda x2 | Carenagem frontal x1 | Extensão lateral LD PP x1 | Pastilha de freio dianteiro x1"
33036,UEG0D41,34,C4_CAPACIDADE,83,72,127,11,"Manete de freio dianteiro x1 | Mascara do farol x1 | Rolamento superior completo da direção x1 | Amortecedor dianteiro LE x1 | Pista do rolamento inferior  x1 | Manete de freio traseiro x1 | Garfo dianteiro x1 | Acabamento frontal direito x1 | Carenagem dianteira esquerda COMFORT x1 | Carenagem dianteira direita COMFORT x1 | Amortecedor dianteiro LD x1"
